fonte,origem_tipo,pais,titulo,tipo,fase_produto,categoria,valor,score,ano,link,origem
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97042-2025-rp.forno-e-fogao.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97041-2025-edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97040-2025_edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital-pe-97037-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97032-2025-papel.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe-97068-2025_kit_lanche.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe-97063-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe-97050-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97047-2025-edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97046-2025-r.p-oleo-de-soja-smalog-v2.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe-97039-2025-r.p.agua_.PDF,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97036-2025-edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97035-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97034-2025-edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97033-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97028-2025-cadeiras-smed_0.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97014-2025-telefonia-smalog.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital 2º versão - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97038-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,outro,Internacional,Edital 97002/2025,edital,não identificado,inovacao,,42,2025,https://drive.google.com/file/d/1BhSxghbMQuOqSYfH1kW5ZLCq_tOvtIXR/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,outro,Internacional,Edital Chamamento Público nº 001/2025,edital,não identificado,audiovisual,,42,2025,https://drive.google.com/file/d/1B7rBME6XC65GPeTVIGj51QsiyOyWCamm/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital_ nova versão - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe-97060-2025_saneantes_v3.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
Prefeitura SP Cultura,municipal,Brasil,Prefeitura de São Paulo abre inscrições para edital do Programa Municipal de Apoio a Projetos Culturais (Promac) 2026 Projetos culturais serão contemplados por meio de incentivo fiscal municipal,edital,não identificado,cultura,,42,2026,https://prefeitura.sp.gov.br/web/cultura/w/prefeitura-de-s%C3%A3o-paulo-abre-inscri%C3%A7%C3%B5es-para-edital-do-programa-municipal-de-apoio-a-projetos-culturais-promac-2026,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
ANCINE,federal,Brasil,Fundo Setorial do Audiovisual - FSA,grant,não identificado,audiovisual,,37,,https://www.gov.br/ancine/pt-br/fsa,https://www.gov.br/ancine
ANCINE,federal,Brasil,Denúncia,lab,não identificado,inovacao,,37,,https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=1&orgaoDestinatario=57682,https://www.gov.br/ancine
ANCINE,federal,Brasil,Solicitação,lab,não identificado,inovacao,,37,,https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=5&orgaoDestinatario=57682,https://www.gov.br/ancine
ANCINE,federal,Brasil,Sugestão,lab,não identificado,inovacao,,37,,https://falabr.cgu.gov.br/publico/Manifestacao/RegistrarManifestacao.aspx?tipo=4&orgaoDestinatario=57682,https://www.gov.br/ancine
SPCINE,outro,Brasil,Agenda Presidência,residencia,não identificado,inovacao,,37,,https://spcine.com.br/my-calendar/,https://spcine.com.br
Creative Europe,internacional,União Europeia,Funding sources for cultural heritage,grant,não identificado,cultura,,36,,https://culture.ec.europa.eu/cultural-heritage/funding-opportunities-for-cultural-heritage,https://culture.ec.europa.eu/funding
Prefeitura SP Cultura,municipal,Brasil,Edital de Credenciamento 2026/2027,edital,não identificado,cultura,,32,2026,https://prefeitura.sp.gov.br/web/cultura/w/edital-de-credenciamento-2026/2027,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
